Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
N13;208166;222345;232110;262746;309961;341673;391305;450845;385499;410991;437211;458021;469958;365101
N133;0;0;0;21496;187198;214945;247208;260811;265137;283104;248606;334277;347463;360781
N2;330082;221468;215354;297443;266723;339157;348296;350929;347103;317061;333791;355996;372968;354880
383;276389;292597;291776;284037;245675;223765;247850;294116;322862;353470;358008;344862;361093;349324
X68;210597;214435;217812;228103;257592;311282;320984;377273;424444;432840;383177;407956;359489;348820
U9;232399;261535;244115;251290;258286;304566;322629;331505;322926;353928;350087;350712;352664;344236
N89;0;0;0;143621;198817;205944;212805;245216;242418;255359;261858;286008;327565;341038
N12;289601;257089;305593;321085;351479;373563;368953;379472;395171;405487;406930;411546;380914;334699
362;257790;255871;255533;280247;292877;278958;285354;289222;301585;344782;356108;353341;358802;334245
N214;0;33074;80606;107342;214870;309916;327851;315575;297333;159457;311742;367908;355918;332609
377;0;0;133573;230190;249540;267758;284427;294846;295353;306203;320935;312368;330267;330094
N242;0;0;0;17292;168379;184408;210260;261971;223386;556016;492687;339508;337370;327961
N7;0;0;0;0;140608;333937;344800;353632;324039;312847;321055;330417;330261;326125
N36;506741;573976;559765;561971;628146;710114;775584;754630;616378;186014;310025;308176;324582;321576
N171;128629;113663;178681;234722;244238;253996;263388;268881;271854;257481;263818;278546;301459;320133
N94;94513;172912;179218;311344;323770;295692;304808;386213;313876;145161;319602;370480;373330;317700
N148;0;0;0;38615;125138;184605;243275;246769;336982;281612;257837;331063;326917;317523
N19;117678;145879;182244;211734;271984;336798;394482;380326;339325;301062;297953;287244;262554;314525
N43;98420;128655;148559;156159;174078;184639;207421;230617;232821;135568;233557;302430;316041;310955
346;337263;330631;329416;324124;322523;299830;294705;286521;290917;325854;315025;326047;321459;306125
N243;190430;150028;111529;110108;153258;246071;242707;247308;130306;506295;629474;802584;645708;305075
N159;318710;697683;707260;825430;778027;1023387;1239071;1239736;1216645;1189367;1234611;707629;289726;298720
N137;0;3692;98067;132887;147666;193700;242934;251533;257451;256492;272805;286802;267111;298072
N551;0;0;0;0;0;0;0;0;0;104540;227870;262307;311189;274711
N86;0;0;0;0;0;128239;183666;206285;213792;215199;232700;265573;276926;267759
464;0;127207;191020;217709;223737;226199;230968;240645;219174;257867;258579;260244;277116;265210
485;73320;73820;76162;85619;78443;73593;79738;214405;260052;263956;263736;264124;279542;263727
N76;0;0;0;22999;164835;175063;205991;223808;240374;247964;236757;250304;259068;263623
379;153889;157120;173499;246629;253158;234478;231267;222694;239364;241065;248256;258744;281093;261368
N88;0;0;0;86883;181835;197427;206890;221446;226270;179863;224041;256883;271337;258340
R6;0;0;79244;235433;249588;252682;242069;228163;226945;235052;246227;238346;260013;258255
N24;36779;124002;125706;124958;209777;284378;374112;355726;310553;213058;233683;260251;259327;253905
N266;0;40980;122993;171899;210080;232996;270776;263235;251671;169671;242475;269972;287938;252676
K5;159283;129008;157740;217857;222102;205660;217184;219403;226494;246472;268747;239472;246515;245783
N550;0;0;0;0;0;0;0;0;0;120895;228873;259980;270526;240329
N10;0;0;114564;280454;356803;416179;386838;442665;375382;337415;327805;243634;252667;235559
434;0;0;0;0;74633;143886;151575;153535;164728;193703;212017;219483;221162;233871
N69;0;0;50571;81628;95777;89701;116096;141997;144959;139572;155804;195617;218378;230087
N21;314584;344927;350050;322043;268951;281037;306509;330476;337942;326131;260817;216181;231537;228560
N343;0;19001;150033;170987;164821;211564;240606;204669;235579;219436;216791;209019;224575;223234
N22;0;23180;113872;186985;212125;227449;238932;237177;235771;229594;242097;239770;235491;220240
N41;0;5456;29135;32811;38774;62842;185627;225034;214453;220497;221266;225574;233135;219299
N285;0;0;47179;78988;116888;132682;191735;189068;187113;52633;167835;198459;205559;208432
N23;159030;179371;191411;244796;243444;142124;85668;66355;85664;35848;154237;221697;212389;203342
560;0;0;0;0;0;0;0;0;0;0;0;0;0;201142
481;0;0;0;0;0;0;0;125107;173400;193547;198703;198894;205776;193850
N220;0;0;0;0;0;0;55185;132269;120351;110033;127023;153763;170117;187403
N27;0;14052;118046;132299;155271;146195;125198;178156;159113;78246;171982;183603;193923;187150
N140;0;70582;98808;103641;115325;123677;143859;155137;166179;89144;146134;191200;193445;186809
N341;0;0;0;0;56376;114031;139423;147390;158484;139322;148233;168175;178086;185982
N52;181980;173799;146215;159061;164394;207489;212024;206333;210571;193854;193877;190842;197804;177067
N345;0;0;0;120385;178094;186568;183630;182419;192724;145518;152771;168887;172171;175774
N250;0;0;0;0;55536;52618;27290;5838;142689;58339;133776;168856;175656;175313
N188;0;0;0;0;0;0;0;0;101018;137444;149675;147810;158586;174655
N65;0;0;0;15176;48613;71346;65646;85408;88162;75624;128347;170988;182610;174650
T032;0;0;0;0;0;579404;545422;531039;372330;316063;302944;284655;300038;172668
N74;0;0;0;27354;102333;118586;141311;158594;155218;148948;159193;171521;179067;171968
N37;36177;46769;60563;69972;82396;42088;6;50660;118456;121450;159963;165128;169251;171513
N57;0;0;0;0;0;0;0;0;31498;7317;117998;148169;179465;169162
N390;0;0;0;0;0;74872;172477;163118;164571;96562;138977;166209;171664;162833
N189;0;0;0;47929;153474;170200;190707;196022;194280;106736;174605;169375;123793;162418
N295;0;0;0;0;0;0;0;0;40918;72998;138668;157969;163981;158588
467;0;36744;82913;95273;84961;77739;75595;79962;83215;99940;111260;139235;154001;158454
N277;0;0;0;3324;65535;79068;84996;90662;88028;87055;84943;125418;146215;157531
698;71430;79324;76815;77224;73899;61142;32838;59917;75220;111116;118722;137565;145157;154881
N83;0;0;0;32230;84723;73577;86931;76450;84535;52009;131106;191461;165674;152351
N111;0;0;0;0;0;0;0;0;27153;66132;132441;151933;160145;152305
638;177950;193654;186127;187245;179240;174707;109293;52873;48187;108240;128568;145443;158704;151583
N297;0;0;0;0;0;0;0;0;0;58401;109998;138882;146603;146231
N139;50950;57368;91548;103669;160040;165863;183944;179552;175684;98607;145238;129772;155369;144027
N344;0;0;0;0;0;0;0;56185;120041;121132;116949;122359;153462;141257
N281;0;0;0;0;0;0;0;107952;138809;115534;137573;141401;145010;138705
N31;76783;91246;93932;99733;119626;95093;128406;139933;133701;126837;137179;145426;141353;137569
281R;0;0;0;0;0;0;0;0;0;0;0;0;0;135588
601;119531;110420;110926;121254;113592;85901;70885;55904;60474;108394;97472;111506;114618;132721
N28;54836;85999;81770;93257;115711;102629;129233;138790;127492;123277;133274;138574;135323;131910
N105;0;0;43776;63576;71106;85990;93020;76379;86885;40142;82512;100050;124579;130960
541;0;0;0;0;0;0;0;0;0;0;0;0;58854;129502
688;0;0;0;46489;72259;86670;56451;77189;78523;96974;110469;122245;128629;128231
N108;0;0;10272;31653;46060;63766;74502;54020;61733;60837;45202;85829;113797;124323
T32;0;538752;663235;691735;693135;0;0;0;0;0;0;0;0;119276
U10;65007;73840;70806;70964;62755;59302;62178;62514;60117;96012;111731;116816;123022;116341
697;38130;49582;54721;56328;54832;42920;25559;40915;53038;80974;84914;90709;101519;112398
N128;0;0;0;0;0;0;0;0;17977;29044;81653;82401;104981;112369
R7;409965;369475;221878;0;21947;84654;77518;81202;87618;97650;98959;106928;109944;110555
N102;0;0;0;0;0;0;0;0;66320;101835;102491;111056;106367;109664
678;63355;77358;61452;72406;88918;97026;57510;31192;50344;99054;53262;29075;85127;108670
327;57251;67925;73583;72777;91408;74358;75799;75311;78355;101487;101031;108677;105293;107601
N271;0;0;0;8477;99694;104674;110883;115845;114875;59563;105434;127633;111857;107514
NEL1;0;0;0;0;0;0;0;0;0;0;7444;81022;101524;104737
606;57064;60894;54448;37182;39559;42521;45021;27383;17763;36192;61598;92440;98421;104715
626;80056;86125;97652;87832;94210;86914;69532;60826;60450;73696;72302;76003;85816;103137
642;0;0;0;0;0;0;0;0;4592;48747;67467;72681;79053;100938
N381;32374;90672;74845;84532;104709;113144;114716;105542;124447;105087;105125;105843;104673;100347
N93;0;0;7775;45306;59005;51366;53039;67636;82850;67389;79712;91136;106119;98669
N264;0;0;0;0;32598;24962;1975;112;244;654;65692;85525;92605;96348
683;6454;5426;0;50604;85212;91413;99323;95034;112186;87593;85629;97896;96537;93559
N113;0;0;0;0;0;0;0;0;0;0;0;0;0;92970
404;74664;72960;69258;76547;73030;75164;85453;90641;85281;86099;86239;89773;94006;91788
N72;15821;35256;59317;83035;96565;111346;122190;126879;99053;32501;84083;86985;94805;91146
679;0;0;47862;62994;56033;53690;49997;59409;48327;62783;83577;67702;65340;90974
549;0;0;0;0;74283;114348;71458;64375;70355;81612;89014;84174;93568;88800
N85;0;0;0;31458;69821;65429;77693;95287;95504;79524;87592;91227;97769;88009
N119;0;0;0;0;12118;93928;117657;75383;66243;60064;72079;78499;85034;86932
635;0;0;0;0;0;26019;16035;24654;21656;34128;59439;64841;71294;85771
146;99588;92823;96226;93545;77610;69609;70122;65335;69270;85564;91891;87948;87453;85238
608;0;0;0;0;0;0;0;30183;42809;52886;52378;60729;72040;85232
612;138095;145556;117697;119207;79785;76356;65905;60685;62654;73765;78644;85663;85257;84222
646;75324;73522;71244;69457;62046;55781;66465;42154;71080;74771;77365;84913;80718;83235
667;0;0;0;0;0;24881;31525;44446;52195;45869;30406;58705;70801;83179
NC2;0;0;0;0;0;0;0;0;35197;20601;58458;74773;89991;81148
669;0;0;0;0;0;9699;36284;35502;17707;37737;71502;60782;71530;80708
N64;0;0;0;0;0;0;0;0;0;0;0;39151;77134;79034
R8;138767;139355;91736;0;0;49230;44904;48610;56827;73339;77799;75728;79726;75766
625;0;0;19027;70178;67028;57226;45627;43515;35074;47418;59953;66159;66074;75216
681;0;0;0;28706;41089;37366;31662;31601;27961;42057;41894;44118;47223;74016
86U;0;0;0;0;0;0;0;0;0;0;0;18223;0;73744
N321;0;0;0;0;0;0;0;0;0;0;23921;57944;67953;70946
699;88405;94374;82900;91544;83865;72530;51479;30240;46360;56029;40807;43676;60646;68165
N474;0;0;0;0;0;0;0;0;1839;24474;55121;63134;68887;67556
108G;0;0;0;0;0;0;0;0;0;0;0;0;0;66382
640;35066;56959;51270;46066;50670;48754;38746;32252;28638;49499;50828;58303;64236;66136
656;29861;34116;34832;36916;49755;55331;29707;31308;64778;60951;60953;68192;70748;65102
658;0;0;0;0;0;0;0;18882;21523;24550;29591;36619;46436;64551
650;38592;42065;13171;0;0;0;240;2179;19235;49984;39449;55320;66760;62419
632;76629;87087;73392;78085;52564;50720;25131;15696;8366;15812;16398;23125;47205;61570
N213;0;0;0;27447;54730;77702;79759;80764;82134;87603;64272;57760;64075;61137
375;0;0;0;0;0;0;0;0;0;36798;52176;58076;60474;59388
649;122625;139352;117795;95009;105198;97550;51899;4505;36082;63488;68518;73759;69690;58694
N33;0;0;0;0;0;0;0;0;0;0;8809;63057;60471;58652
652;29264;30722;28488;24299;32374;34303;32164;26922;40799;42360;47380;52595;57005;58382
603;0;0;0;0;13162;49144;42754;38070;40041;49966;51463;52854;60439;58170
602;43572;42259;41698;41169;39276;28187;23188;24342;26051;36713;42581;47127;51000;58003
N472;0;0;0;0;0;0;0;0;24480;47662;40638;46223;54301;54982
561;0;0;0;0;0;0;0;0;0;0;0;0;0;54721
629;35891;58930;62144;73206;78556;53150;50917;35529;17851;35989;45233;47011;45349;54198
664;0;0;0;12254;14183;16294;13658;16293;5489;16160;28677;31775;45451;52745
617;69632;66947;61068;70150;65636;69527;47573;23625;9222;43583;45515;45840;52690;51190
616;11809;14548;14266;24544;25180;22700;27618;13974;42773;39851;43228;39830;42818;48249
N365;0;0;0;0;0;0;0;0;0;14276;41646;49092;50557;48121
654;0;64544;64855;71068;51467;43978;33222;36318;30148;39371;40203;44249;48761;47433
696;0;0;0;0;0;0;0;2634;10978;22370;29579;33086;43597;46135
74G;0;0;0;0;0;0;0;0;0;0;0;0;0;44045
347;0;0;0;0;0;7326;25556;33088;38735;42185;42054;42755;43026;42494
648;0;0;16007;35176;33970;34429;25689;22402;24514;33953;36405;35077;38817;41963
675;0;13968;18781;20261;20608;31133;18589;8153;53453;33457;34338;29241;31072;39043
627;45032;43747;40335;36227;28658;27316;25786;19377;17598;32489;36715;39370;37225;36651
628;0;0;0;0;0;0;0;0;22299;23846;29349;37217;37739;36482
686;0;0;27572;57338;56789;55124;56566;41177;46917;59372;64433;73788;51634;35998
K50;30403;42261;48101;47674;57494;94031;91574;85443;91330;78333;75694;56585;51273;35609
671;0;0;0;23418;58082;53703;56107;28245;29126;33392;35221;36666;37019;34464
15U;0;0;0;0;0;0;0;0;0;0;0;0;5263;33444
385;0;0;0;0;0;0;0;0;24218;29323;31763;32759;36038;33429
665;0;0;0;5946;8707;11293;14453;16197;17155;18333;16905;25997;29922;33031
653;34055;31326;19474;18362;11853;8071;9453;2060;0;19666;29890;34809;29380;31728
N236;0;15070;91764;81138;73046;46980;41549;42427;40980;37636;41060;47895;54145;31052
R5;53590;56330;67550;88470;77352;60384;61433;63914;62386;48871;33545;31797;30869;30598
651;23897;20309;18185;13391;15448;16345;11589;5228;10761;25627;34011;22363;28623;30008
672;51762;45182;37223;33852;35873;26512;22654;10392;7584;7932;11444;22690;23032;30005
8U;0;0;0;0;0;0;0;0;0;0;0;0;0;29647
655;0;0;0;0;0;23337;16593;12676;10570;25325;28578;27043;28010;29493
2U;0;0;0;0;0;0;0;0;0;0;0;594;26134;28915
405D;0;0;0;0;0;0;0;0;0;6478;21540;21904;17285;27706
359;23745;23402;24539;26225;24760;24987;26196;26459;30372;31006;28683;28660;27628;27454
657;1715;12765;14845;18945;15854;18780;13694;10597;5126;18053;25868;25668;24266;27258
R10;0;0;0;0;0;0;0;0;0;14125;26612;25885;26280;27049
H3;19376;18869;17763;23446;28638;25824;27501;25620;24979;24346;27730;26338;27943;26957
H1;31154;29125;33582;26759;33148;30699;24221;17384;15263;28544;30967;32868;29760;26836
661;26118;23443;23366;20826;18544;17412;29126;34241;34124;19971;16480;21259;22821;26592
613;18117;16144;13501;20237;25930;28411;29510;37484;43152;39460;33262;34915;28244;25471
624;113205;111865;112171;109316;102310;87833;88356;35040;14957;21366;22490;21817;25599;24144
W10;20422;20582;24327;27910;22983;21194;25198;25056;22218;23470;21508;21556;23842;23282
660;32949;37409;30229;29172;32906;25079;21614;14531;15731;14975;14879;16541;20214;22830
108D;0;0;0;0;0;0;0;0;0;0;0;0;0;22589
674;0;11191;14944;14830;13270;15247;20125;14785;13591;21475;23519;22848;22015;22344
621;39082;51324;38578;38989;33256;25933;18303;16336;12966;17919;17984;22449;20497;22324
609;32417;35993;42433;45310;35462;26140;21943;19970;14452;15353;18372;19676;23857;20080
634;19315;16358;13330;12223;14495;11866;12234;13076;10863;6698;9999;12161;13763;18226
691;0;0;0;0;0;0;0;15283;16273;22066;21266;23091;20213;18121
605;0;0;0;0;0;0;0;0;2585;6817;8695;12119;16724;17469
150D;0;0;0;0;0;0;0;0;0;0;0;7495;17952;17421
389;17050;17558;18332;16286;16131;17624;15539;14756;15391;16010;17954;18565;17006;15928
370D;0;0;0;26321;30100;16527;14590;31835;54572;38891;40766;43003;38496;15696
673;6519;6791;7698;7721;8039;10719;15211;4414;3137;8546;10180;9928;13540;14950
399;9228;9989;11241;10501;10785;9738;11001;10849;12152;12162;13306;13044;12674;13017
670;33902;40705;31409;26647;30793;19164;10810;6331;4385;2730;2193;1816;4481;12509
643;21400;23277;19735;18984;15615;16883;15720;8785;8771;9535;11746;12880;15110;12204
639;0;0;0;0;0;0;0;0;2852;3158;2457;2530;4882;11823
692;0;0;0;0;0;0;0;0;5686;10440;4423;3786;7104;11612
N20U;0;0;0;0;0;0;0;0;0;0;0;0;3228;11035
685;0;0;0;0;0;0;0;0;0;9210;12042;12548;10621;10913
N238;0;0;0;0;0;0;0;0;0;0;0;0;0;9958
647;0;0;0;20034;22468;20433;16312;9588;10851;17611;15226;9910;10789;9678
637;0;0;0;0;0;0;0;7618;2832;8452;8549;12539;12145;9288
641;0;0;0;0;0;0;3885;8509;8882;9895;10658;10045;9305;9261
611;15089;21975;16327;19420;16719;16076;11345;4988;5933;8033;9287;7689;5256;9101
636;0;0;0;0;0;0;0;4072;1615;8230;8861;9196;8898;9101
687;0;0;0;0;0;0;0;897;4824;5813;6586;7840;10304;8984
518;0;0;0;0;0;0;0;0;0;0;0;0;0;6624
969;325;123;1214;555;1331;1658;1635;1624;1741;2778;2695;3122;3304;3545
690;26440;28839;23016;25067;21020;19609;15028;5822;5387;3680;2957;6407;6195;3403
143D;39630;37702;37887;42589;34721;18457;8832;6092;5387;3459;5353;2273;2576;2697
N74G;0;0;0;0;0;0;0;0;0;0;0;0;0;2449
553;0;0;0;0;0;0;0;0;0;0;0;0;0;2032
93U;0;0;0;0;0;0;0;0;0;0;0;0;0;1967
965;257;267;1160;627;1123;1515;2180;2236;2467;1593;1766;2002;2205;1819
953;6197;6181;6157;2041;1122;1607;4315;2881;2253;2841;3297;2924;2970;1523
931;2499;1418;2129;1576;1464;1393;1207;1189;1209;1133;1020;1097;1163;1146
94U;0;0;0;0;0;0;0;0;0;0;0;9891;10120;418
188U;0;0;0;0;0;0;0;0;0;0;0;17022;0;57
13E;776223;840889;401580;0;0;0;0;0;0;0;0;0;0;0
15B;1028382;0;0;0;0;0;0;0;0;0;0;0;0;0
20D;109486;86339;63959;0;0;0;0;0;0;0;0;0;0;0
34D;75981;85580;70185;38187;0;0;0;0;0;0;0;0;0;0
77A;4999790;5317459;5335273;4890583;5576111;5671859;6301959;940018;0;0;0;0;0;0
77C;40119;43757;36171;14257;0;0;0;0;0;0;0;0;0;0
79D;10892;10967;5835;0;0;0;0;0;0;0;0;0;0;0
84;0;0;0;0;0;0;0;0;0;17014;0;0;0;0
92D;7491;11905;12489;14293;604;0;0;0;0;0;0;0;0;0
97A;1039096;0;0;0;0;0;0;0;0;0;0;0;0;0
99D;18693;19478;26777;29298;20855;0;0;0;0;0;0;0;0;0
104D;0;33117;15721;0;0;0;0;0;0;0;0;0;0;0
112D;9014;0;0;0;0;0;0;0;0;0;0;0;0;0
127D;43168;45754;857;0;0;0;0;0;0;0;0;0;0;0
127G;12075;0;0;0;0;0;0;0;0;0;0;0;0;0
130;3150044;871213;481716;469054;546685;667661;685183;703740;64729;0;0;0;0;0
130N;0;4423;0;0;0;0;0;0;0;0;0;0;0;0
132D;23269;23596;18489;15567;0;0;0;0;0;0;0;0;0;0
133E;796450;0;0;0;0;0;0;0;0;0;0;0;0;0
137A;944069;0;0;0;0;0;0;0;0;0;0;0;0;0
148U;0;0;0;0;0;0;0;0;152312;554782;0;0;0;0
149W;169964;0;0;0;0;0;0;0;0;0;0;0;0;0
152D;31184;25613;24349;28600;29482;0;0;0;0;0;0;0;0;0
155U;0;0;0;0;0;0;0;0;0;0;0;194699;0;0
156D;452;0;0;0;0;0;0;0;0;0;0;0;0;0
159S;127988;530470;0;0;0;0;0;0;0;0;0;0;0;0
163D;25829;26723;22523;19134;19768;18515;14732;9063;9021;5219;0;0;0;0
167D;0;0;549;6875;10945;0;0;0;0;0;0;0;0;0
185B;0;55408;0;0;0;0;0;0;0;0;0;0;0;0
185E;0;296134;0;0;0;0;0;0;0;0;0;0;0;0
191D;26837;0;0;0;0;0;0;0;0;0;0;0;0;0
200D;30569;28369;21517;16863;14760;6826;25798;2680;0;0;0;0;0;0
207A;72431;0;0;0;0;0;0;0;0;0;0;0;0;0
212D;0;0;0;0;0;838;14122;10358;12069;16138;0;0;0;0
231D;23907;24312;20309;17257;1932;0;0;0;0;0;0;0;0;0
232D;14761;23639;24189;28995;22972;6406;0;0;0;0;0;0;0;0
235D;70054;70619;67025;65047;36271;0;0;0;0;0;0;0;0;0
239;911822;930623;1015178;1236447;1419789;1613020;1585697;1729056;1611043;0;0;0;0;0
243A;666886;293214;0;0;0;0;0;0;0;0;0;0;0;0
278;646199;769614;748675;749973;686116;0;0;0;0;0;0;0;0;0
280B;0;0;0;0;0;0;0;0;0;0;6827;48228;0;0
280T;0;0;0;0;0;0;0;0;0;0;76955;537316;0;0
287D;0;0;0;0;0;0;0;6311;0;0;0;0;0;0
302D;27096;33811;29702;35534;4870;0;0;0;0;0;0;0;0;0
307D;26170;27565;26418;0;0;0;0;0;0;0;0;0;0;0
308A;44250;0;0;0;0;0;0;0;0;0;0;0;0;0
310A;0;0;457;0;382;0;0;0;0;0;0;0;0;0
313D;0;0;0;0;0;0;0;0;0;0;0;0;0;0
314;1274686;1394832;1429593;1615141;1749277;1714801;1692015;1627743;152829;0;0;0;0;0
351;0;0;853;0;0;0;0;0;0;0;0;0;0;0
369;3034635;2983975;3023685;3531925;3961790;3984884;4025241;4050558;4263986;4489570;3697966;0;0;0
370E;0;0;0;0;0;35515;56579;44400;24554;0;0;0;0;0
371D;14985;14430;12400;4680;0;17950;22159;20046;14211;14676;5023;0;0;0
373;0;0;0;0;0;0;0;0;0;0;0;0;0;0
373E;0;0;0;0;0;40644;62932;47483;1651;0;0;0;0;0
374;1518182;1496580;1444332;1477265;1463647;1427985;773032;0;0;0;0;0;0;0
400;10921;0;0;0;0;0;0;0;0;0;0;0;0;0
435;0;0;0;0;0;0;681475;763365;697914;0;0;0;0;0
469A;0;15428;0;0;0;0;0;0;0;0;0;0;0;0
494;0;198604;269031;286549;294120;263481;52670;0;0;0;0;0;0;0
501;1270593;1259857;1342244;230718;0;0;0;0;0;0;0;0;0;0
505;631605;234502;0;0;0;0;0;0;0;0;0;0;0;0
509;0;291168;0;0;0;0;0;0;0;0;0;0;0;0
511;6415;6324;4829;0;0;0;0;0;0;0;0;0;0;0
523;0;0;0;0;0;0;8313;0;0;0;0;0;0;0
557;0;0;227;0;345;0;0;0;0;0;0;0;0;0
584;0;14416;117080;0;0;0;0;0;0;0;0;0;0;0
604;0;0;0;0;0;0;8457;5562;2031;0;0;0;0;0
606D;0;0;0;0;0;0;0;19545;28984;30615;17230;0;0;0
620;0;0;1165;6804;5884;5476;2277;811;0;0;0;0;0;0
630;29838;35422;43529;25615;15570;20248;15681;6014;371;0;0;0;0;0
644;2849;0;0;0;0;0;0;0;0;0;0;0;0;0
645;100997;83866;22313;0;0;0;0;0;0;0;0;0;0;0
689;24910;32704;29304;38088;38052;23414;16958;6275;3692;3064;2734;5158;1150;0
693;19537;2194;0;0;0;0;0;0;0;0;0;0;0;0
705;0;0;0;60573;125028;162034;20229;0;0;0;0;0;0;0
726;386966;359280;360737;323720;336367;534624;20845;0;0;0;0;0;0;0
851;902;920;529;0;0;0;0;0;0;0;0;0;0;0
852;3486;2683;1954;0;0;0;0;0;0;0;0;0;0;0
853;2775;2643;1937;0;0;0;0;0;0;0;0;0;0;0
854;880;826;841;0;0;0;0;0;0;0;0;0;0;0
855;2107;1771;1327;0;0;0;0;0;0;0;0;0;0;0
856;1342;921;1374;0;0;0;0;0;0;0;0;0;0;0
857;1347;1024;1884;0;0;0;0;0;0;0;0;0;0;0
858;794;675;1037;0;0;0;0;0;0;0;0;0;0;0
861;624;797;24;0;0;0;0;0;0;0;0;0;0;0
862;1017;393;282;0;0;0;0;0;0;0;0;0;0;0
863;787;119;15;0;0;0;0;0;0;0;0;0;0;0
864;606;414;61;0;0;0;0;0;0;0;0;0;0;0
865;905;177;13;0;0;0;0;0;0;0;0;0;0;0
866;860;208;30;0;0;0;0;0;0;0;0;0;0;0
867;669;304;43;0;0;0;0;0;0;0;0;0;0;0
868;1218;374;193;0;0;0;0;0;0;0;0;0;0;0
869;1022;229;469;0;0;0;0;0;0;0;0;0;0;0
870;626;151;24;0;0;0;0;0;0;0;0;0;0;0
871;444;518;292;0;0;0;0;0;0;0;0;0;0;0
872;1085;1172;526;0;0;0;0;0;0;0;0;0;0;0
873;729;653;518;0;0;0;0;0;0;0;0;0;0;0
874;529;422;397;0;0;0;0;0;0;0;0;0;0;0
875;171;188;83;0;0;0;0;0;0;0;0;0;0;0
876;809;863;631;0;0;0;0;0;0;0;0;0;0;0
877;513;336;220;0;0;0;0;0;0;0;0;0;0;0
878;524;617;286;0;0;0;0;0;0;0;0;0;0;0
879;1199;1211;622;0;0;0;0;0;0;0;0;0;0;0
880;728;931;446;0;0;0;0;0;0;0;0;0;0;0
901;3138;6679;5547;1476;0;0;0;0;0;0;0;0;0;0
902;1067;1986;1316;1077;692;0;0;0;0;0;0;0;0;0
903;985;3044;2137;425;0;581;1472;1157;102;0;0;0;0;0
904;566;350;775;37;0;0;0;0;0;0;0;0;0;0
905;69;13;45;2;0;3891;10541;10582;1285;0;0;0;0;0
906;1987;1978;1505;466;0;0;0;0;0;0;0;0;0;0
907;916;2414;1994;342;0;0;0;0;0;0;0;0;0;0
908;0;0;0;0;496;0;0;0;0;0;0;0;0;0
909;1540;3237;2111;1288;724;200;0;0;0;0;0;0;0;0
910;44;0;0;0;0;0;0;0;0;0;0;0;0;0
911;5555;876;631;0;0;0;0;0;0;0;0;0;0;0
912;4739;1527;815;164;587;0;0;0;0;0;0;0;0;0
913;1207;512;991;225;0;0;0;0;0;0;0;0;0;0
914;821;287;127;0;0;0;0;0;0;0;0;0;0;0
915;3618;1104;1210;0;0;0;0;0;0;0;0;0;0;0
916;2431;820;908;210;0;0;0;0;0;0;0;0;0;0
917;1558;218;2284;3606;4342;2424;1699;1544;1056;1180;1595;1699;410;0
918;3161;1049;752;0;0;0;0;0;0;0;0;0;0;0
919;5656;2396;3055;2298;2544;833;171;0;0;0;0;0;0;0
920;5680;10033;7418;2440;1213;0;0;0;0;0;0;0;0;0
921;777;1688;1185;238;0;0;0;0;0;0;0;0;0;0
922;1694;2939;1723;796;620;0;0;0;0;0;0;0;0;0
923;1195;2246;1412;862;877;0;0;0;0;0;0;0;0;0
924;1353;1975;1250;315;0;0;0;0;0;0;0;0;0;0
925;1603;2125;1911;423;0;0;0;0;0;0;0;0;0;0
926;231;94;0;0;0;0;0;0;0;0;0;0;0;0
927;72;1815;1390;342;0;0;0;0;0;0;0;0;0;0
928;672;439;583;0;0;0;0;0;0;0;0;0;0;0
929;682;1699;1051;284;0;0;0;0;0;0;0;0;0;0
930;3206;1064;1612;524;0;0;0;0;0;0;0;0;0;0
932;1396;1131;931;0;0;0;0;0;0;0;0;0;0;0
933;2269;1515;742;333;0;0;0;0;0;0;0;0;0;0
934;588;628;890;904;691;547;460;0;0;0;0;0;0;0
935;29;28;14;0;0;0;0;0;0;0;0;0;0;0
936;2892;2229;1618;472;0;0;0;0;0;0;0;0;0;0
937;494;255;303;295;0;0;0;0;0;0;0;0;0;0
938;188;141;120;1648;1961;1817;1286;1235;1685;231;0;0;0;0
939;629;413;23;121;0;0;0;0;0;0;0;0;0;0
940;313;0;41;398;321;0;0;0;0;0;0;0;0;0
941;164;18;1772;1148;1285;1348;1348;1432;1270;859;892;803;592;0
942;125;0;44;514;504;81;0;0;0;0;0;0;0;0
943;451;25;86;374;0;0;0;0;0;0;0;0;0;0
944;50;0;17;299;331;0;0;0;0;0;0;0;0;0
945;146;124;511;514;1153;1051;1044;0;0;0;0;0;0;0
946;460;94;1189;628;285;0;0;0;0;0;0;0;0;0
947;50;1547;1165;278;0;0;0;0;0;0;0;0;0;0
948;1515;2553;2333;661;0;0;0;0;0;0;0;0;0;0
949;0;0;38;333;219;0;0;0;0;0;0;0;0;0
950;0;0;42;337;516;555;543;398;542;99;0;0;0;0
951;451;0;300;4037;0;0;0;0;0;0;0;0;0;0
952;4840;6714;5958;6506;17899;10460;0;0;0;0;0;0;0;0
954;501;0;0;0;0;0;0;0;0;0;0;0;0;0
955;30151;49831;45296;40442;39958;11041;0;0;0;0;0;0;0;0
956;1253;843;546;0;0;0;0;0;0;0;0;0;0;0
957;339;0;0;0;0;0;0;0;0;0;0;0;0;0
958;3559;2672;2551;2854;1151;884;2167;1757;1396;1383;1668;1705;519;0
