Route;1999/00;2000/01;2001/02;2002/03;2003/04;2004/05;2005/06;2006/07;2007/08;2008/09;2009/10;2010/11;2011/12;2012/13
287;1038603;1178686;1213611;1300153;1373337;1407970;1450798;1536228;1717056;1883831;1927511;2015473;2053772;1980196
228;0;0;0;0;0;0;0;0;0;187968;1424241;1823550;1947145;1944081
386;560528;615744;926131;1002501;1335698;1432356;1444002;1363853;1554649;1752343;1675469;1900751;2000015;1937147
H9;0;0;0;0;0;670365;1220102;1262588;1307423;1462629;1705282;1778219;1916113;1931497
E9;1647710;1724100;1631492;1760148;1754520;1643082;1678019;1667223;1665677;1833025;1854232;1887813;2011994;1930298
W6;1577743;1533151;1712431;1988031;1834929;1850707;1848385;1594909;1699495;1872021;1851077;1846748;2002986;1920636
165;1521996;1585777;1546907;1758286;1745448;1755874;1790667;1747488;1767130;1846193;1870549;1925414;1970315;1905847
232;995732;1124496;1484699;1472375;1428484;1569688;1888815;1624932;1670823;1704924;1835927;1819371;1843675;1903578
224;1280074;1340865;1446263;1591497;1634973;1568138;1616296;1488788;1442563;1488864;1559168;1563705;1699525;1893893
P5;1074491;1193823;1302462;1514372;1651876;1692988;1864710;1849825;1898875;1866666;1794081;1761681;1900107;1890457
360;0;0;0;141110;1197602;1517111;1670057;1678381;1782724;1814312;1857828;1827976;1830776;1883091
206;1021593;1087021;1075336;1371297;1533023;1364643;1414769;1298598;1431866;1568315;1604925;1579717;1694906;1866566
488;0;0;0;0;0;0;0;0;0;820297;1108256;1158093;1661948;1857963
66;860193;958316;907749;988362;1175892;1440071;1500037;1633065;1568499;1775928;1864977;1815565;1952853;1854206
482;0;0;0;0;0;0;0;0;53789;1746876;1742633;1830987;1988642;1853487
234;1655444;1654058;1637176;1620653;1602771;1619439;1630147;1616435;1603862;1732429;1754929;1786527;1848516;1846604
R68;1088949;1317450;1243554;1216109;1404569;1442920;1564692;1613474;1692147;1765716;1787714;1824582;1878146;1838827
61;1808567;1822538;1810383;1939180;1990481;1828469;1830855;1597105;1417603;1646324;1757358;1834096;1938498;1835514
308;772659;984490;953153;1088059;1107496;1138902;1327058;1292076;1408375;1640841;1822567;1697468;1733593;1821230
K3;672857;731278;949660;1097082;1174695;1262270;1368828;1564021;1679937;1813485;1828883;1774330;1793398;1819709
U5;0;0;0;0;238467;1339913;1405681;1441221;1464569;1557403;1650312;1732661;1820415;1815749
376;450505;1050864;1236069;1328039;1366337;1480109;1557974;1598212;1648495;1757305;1765820;1832645;1792683;1804585
491;0;0;478956;710988;705955;719848;826336;835840;853100;1422177;1651867;1652155;1721474;1778876
225;873338;1321849;1421863;1375799;1510405;1629989;1571520;1378957;1556966;1753486;1752491;1666929;1744705;1773758
