Network-wide;Mois;Bus;London Underground / Docklands Light Railway;London Overground;London Tramlink
Network-wide FY2018/19;août;6,2;10,3;9,7;6,3
Network-wide FY2018/19;septembre;6,2;10,0;6,2;5,6
Network-wide FY2018/19;octobre;7,0;10,3;8,7;8,0
Network-wide FY2018/19;novembre;7,6;10,9;7,8;8,3
Network-wide FY2018/19;décembre;7,3;16,0;13,3;13,5
Network-wide FY2018/19;janvier;7,2;13,4;6,5;8,3
Network-wide FY2018/19;février;8,0;13,5;9,4;5,5
Network-wide FY2018/19;mars;8,1;15,6;8,4;6,8
Network-wide FY2019/20;avril;8,0;15,0;11,0;8,7
Network-wide FY2019/20;mai;7,4;12,4;8,8;8,0
Network-wide FY2019/20;juin;8,3;15,0;10,1;12,8
Network-wide FY2019/20;juillet;7,8;12,2;8,4;9,7
Network-wide FY2019/20;août;7,0;13,1;8,9;6,4
Network-wide FY2019/20;septembre;7,1;12,0;8,1;9,6
Network-wide FY2019/20;octobre;8,9;13,8;6,4;8,0
Network-wide FY2019/20;novembre;8,0;15,9;8,3;14,6
Network-wide FY2019/20;décembre;7,6;23,5;12,1;8,9
Network-wide FY2019/20;janvier;7,9;17,6;8,1;7,7
Network-wide FY2019/20;février;8,3;16,8;10,1;11,9
Network-wide FY2019/20;mars;9,5;21,3;10,7;9,9
Network-wide FY2020/21;avril;16,0;63,4;50,1;10,4
Network-wide FY2020/21;mai;16,9;44,5;32,9;21,4
Network-wide FY2020/21;juin;15,1;26,5;19,2;16,8
Network-wide FY2020/21;juillet;13,8;21,6;11,9;10,4
Network-wide FY2020/21;août;12,1;18,8;17,9;19,4
Network-wide FY2020/21;septembre;11,8;17,6;14,1;16,0
Network-wide FY2020/21;octobre;11,6;18,6;13,4;9,1
Network-wide FY2020/21;novembre;12,1;24,1;17,8;10,9
Network-wide FY2020/21;décembre;9,8;21,8;10,7;9,6
Network-wide FY2020/21;janvier;9,2;31,1;19,2;11,5
Network-wide FY2020/21;février;9,7;26,5;13,7;8,2
Network-wide FY2020/21;mars;11,0;23,0;12,9;12,2
Network-wide FY2021/22;avril;9,3;18,1;13,5;14,2
Network-wide FY2021/22;mai;9,1;15,4;10,9;9,3
Network-wide FY2021/22;juin;9,1;14,1;9,6;8,6
Network-wide FY2021/22;juillet;9,6;14,3;10,6;12,2
Network-wide FY2021/22;août;8,7;13,0;8,9;15,2
Network-wide FY2021/22;septembre;9,6;12,1;12,1;9,4
Network-wide FY2021/22;octobre;10,4;12,5;10,3;7,7
Network-wide FY2021/22;novembre;10,2;13,8;8,4;12,5
Network-wide FY2021/22;décembre;10,2;16,4;10,9;10,8
Network-wide FY2021/22;janvier;9,5;17,8;11,7;13,0
Network-wide FY2021/22;février;10,2;14,1;9,1;7,9
Network-wide FY2021/22;mars;9,9;15,0;11,1;8,8
Network-wide FY2022/23;avril;9,6;13,3;8,8;6,3
Network-wide FY2022/23;mai;9,9;13,7;9,0;9,0
Network-wide FY2022/23;juin;10,3;15,3;11,8;11,1
Network-wide FY2022/23;juillet;8,9;13,2;10,4;13,1
Network-wide FY2022/23;août;10,1;16,3;12,8;13,8
Network-wide FY2022/23;septembre;9,6;10,4;7,1;7,1
