Height restriction (m);Height restriction (imperial);Easting;Northing;Grid Reference;Lat;Lng;Borough;Road name
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529407;184155;TQ2940784155;51,541466;-0,1353684;Camden;St Pancras Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532324;181568;TQ3232481568;51,517543;-0,094301622;City of London;London Wall
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532359;181548;TQ3235981548;51,517355;-0,093804996;City of London;Wood Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532379;181587;TQ3237981587;51,517701;-0,093502288;City of London;Wood Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532396;181560;TQ3239681560;51,517454;-0,093267558;City of London;London Wall
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532918;163624;TQ3291863624;51,356149;-0,092475605;Croydon;Selsdon Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529910;159141;TQ2991059141;51,316555;-0,13728417;Croydon;Marlpit Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529838;159142;TQ2983859142;51,316581;-0,13831636;Croydon;Brighton Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";513634;185509;TQ1363485509;51,557029;-0,36226838;Ealing;Alexandra Avenue
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";513642;185512;TQ1364285512;51,557054;-0,36215207;Ealing;Northolt Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531689;195172;TQ3168995172;51,639942;-0,098351588;Enfield;Green Dragon Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532056;197491;TQ3205697491;51,660695;-0,092176423;Enfield;Holtwhites Hill
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540503;177396;TQ4050377396;51,478081;0,021839952;Greenwich;Bellfield Close
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534580;185022;TQ3458085022;51,548049;-0,060488494;Hackney;Marcon Place
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534604;185036;TQ3460485036;51,548169;-0,060137229;Hackney;Marcon Place
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533566;184180;TQ3356684180;51,540723;-0,075422735;Hackney;Middleton Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524529;176021;TQ2452976021;51,469462;-0,20853979;Hammersmith and Fulham;Hurlingham Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524699;176245;TQ2469976245;51,471438;-0,20601461;Hammersmith and Fulham;New King's Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";521719;181206;TQ2171981206;51,516672;-0,24718852;Hammersmith and Fulham;Erconwald Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533464;189012;TQ3346489012;51,584169;-0,075059768;Haringey;West Green Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533678;191379;TQ3367891379;51,605389;-0,071071937;Haringey;White Hart Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";514281;186404;TQ1428186404;51,564942;-0,35264916;Harrow;Northolt Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507538;176153;TQ0753876153;51,474129;-0,45301665;Hillingdon;Inner Ring West
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507531;176781;TQ0753176781;51,479775;-0,45292645;Hillingdon;Tunnel Road East
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";517877;177219;TQ1787777219;51,481653;-0,30386332;Hounslow;Justin Close
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";517860;177230;TQ1786077230;51,481755;-0,30410436;Hounslow;Dock Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530122;184137;TQ3012284137;51,54114;-0,1250708;Islington;York Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524060;181245;TQ2406081245;51,516514;-0,21345398;Kensington and Chelsea;St Mark's Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";517804;167106;TQ1780467106;51,390776;-0,30827522;Kingston upon Thames;Brighton Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531536;175553;TQ3153675553;51,463672;-0,10789115;Lambeth;Barrington Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531544;175536;TQ3154475536;51,463518;-0,10778238;Lambeth;Barrington Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530824;178957;TQ3082478957;51,494428;-0,11687506;Lambeth;Juxon Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535434;173053;TQ3543473053;51,440288;-0,052768823;Lewisham;South Circular Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536610;177686;TQ3661077686;51,481639;-0,034070874;Lewisham;Arklow Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539951;174241;TQ3995174241;51,449867;0,012648635;Lewisham;Burnt Ash Hill
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536489;175846;TQ3648975846;51,465134;-0,036522415;Lewisham;Brockley Cross
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539483;173742;TQ3948373742;51,445498;0,005721559;Lewisham;South Circular Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539459;173731;TQ3945973731;51,445405;0,0053721039;Lewisham;South Circular Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537737;176140;TQ3773776140;51,467474;-0,018453496;Lewisham;Thurston Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524493;169102;TQ2449369102;51,407288;-0,21148836;Merton;Cannon Hill Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540384;185660;TQ4038485660;51,552369;0,023415864;Newham;Clinton Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";519327;177107;TQ1932777107;51,480342;-0,28302992;Richmond upon Thames;Mortlake Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532728;173078;TQ3272873078;51,441153;-0,091669878;Southwark;Thurlow Park Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534796;176482;TQ3479676482;51,471254;-0,060637068;Southwark;Kirkwood Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533844;179442;TQ3384479442;51,49808;-0,073214386;Southwark;Abbey Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533895;179453;TQ3389579453;51,498167;-0,072475948;Southwark;Abbey Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532332;177641;TQ3233277641;51,482251;-0,095658021;Southwark;Urlwin Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532297;178021;TQ3229778021;51,485674;-0,096019527;Southwark;Sutherland Square
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533898;176200;TQ3389876200;51,468933;-0,073665078;Southwark;Lyndhurst Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534937;182556;TQ3493782556;51,525804;-0,056287385;Tower Hamlets;Birkbeck Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536756;180953;TQ3675680953;51,510962;-0,030704676;Tower Hamlets;The Mitre
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533866;180873;TQ3386680873;51,510934;-0,072355017;Tower Hamlets;Chamber Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533910;180879;TQ3391080879;51,510978;-0,071719077;Tower Hamlets;Chamber Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534173;180880;TQ3417380880;51,510924;-0,067931122;Tower Hamlets;Mill Yard
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534166;180917;TQ3416680917;51,511259;-0,068017865;Tower Hamlets;Mill Yard
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539637;186507;TQ3963786507;51,560165;0,012984815;Waltham Forest;Acacia Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539676;186454;TQ3967686454;51,559679;0,013526011;Waltham Forest;Montague Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";528737;176922;TQ2873776922;51,476618;-0,14766248;Wandsworth;Battersea Park Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";526775;175414;TQ2677575414;51,463509;-0,17643894;Wandsworth;Plough Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524391;174900;TQ2439174900;51,459418;-0,2109196;Wandsworth;Upper Richmond Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524436;174878;TQ2443674878;51,45921;-0,21027995;Wandsworth;Upper Richmond Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";528315;173230;TQ2831573230;51,443535;-0,15507408;Wandsworth;Boundaries Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524277;191327;TQ2427791327;51,607073;-0,20676747;Barnet;Frith Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";546251;172658;TQ4625172658;51,434052;0,10259444;Bexley;Station Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";551221;178069;TQ5122178069;51,481366;0,17635068;Bexley;Station Approach Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";551214;178062;TQ5121478062;51,481305;0,17624696;Bexley;Station Approach Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";545972;176043;TQ4597276043;51,46454;0,099978878;Bexley;Central Avenue
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524607;184614;TQ2460784614;51,546671;-0,20438388;Brent;Christchurch Avenue
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537516;167398;TQ3751667398;51,38897;-0,025023512;Bromley;Upper Elmers End Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535355;169003;TQ3535569003;51,403912;-0,05545024;Bromley;Elmers End Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535360;169008;TQ3536069008;51,403956;-0,055376496;Bromley;Elmers End Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539574;166085;TQ3957466085;51,376669;0,0040190459;Bromley;Tiepigs Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";543267;169293;TQ4326769293;51,404576;0,058337397;Bromley;Bickley Park Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";543275;169302;TQ4327569302;51,404655;0,058455963;Bromley;Bickley Park Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530474;160175;TQ3047460175;51,325719;-0,12881773;Croydon;Stoats Nest Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530498;160158;TQ3049860158;51,325561;-0,12847969;Croydon;Stoats Nest Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";520456;179688;TQ2045679688;51,5033;-0,26589984;Ealing;Acton Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";516648;183215;TQ1664883215;51,535797;-0,31957223;Ealing;Bideford Avenue
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534304;193597;TQ3430493597;51,625171;-0,061188773;Enfield;Church Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534772;183832;TQ3477283832;51,537309;-0,058176488;Hackney;Bocking Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534705;184762;TQ3470584762;51,545683;-0,058786315;Hackney;Wilton Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537012;184566;TQ3701284566;51,543367;-0,025613929;Hackney;Wallis Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534682;184765;TQ3468284765;51,545715;-0,05911665;Hackney;Wilton Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";525053;176706;TQ2505376706;51,475503;-0,20075753;Hammersmith and Fulham;Parsons Green Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";523129;181554;TQ2312981554;51,519494;-0,22675666;Hammersmith and Fulham;North Pole Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529345;187831;TQ2934587831;51,574515;-0,13491095;Haringey;Stanhope Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533742;190847;TQ3374290847;51,600593;-0,070351027;Haringey;Ruskin Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";514241;188049;TQ1424188049;51,579735;-0,35269163;Harrow;The Gardens
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";511568;180570;TQ1156880570;51,51305;-0,39362033;Hillingdon;Car park access
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507710;175870;TQ0771075870;51,471553;-0,45062727;Hillingdon;Cranwell Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507530;176103;TQ0753076103;51,473681;-0,45314699;Hillingdon;Inner Ring West
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507536;176106;TQ0753676106;51,473707;-0,45305972;Hillingdon;Inner Ring West
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507547;176112;TQ0754776112;51,473759;-0,45289958;Hillingdon;Inner Ring East
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507554;176114;TQ0755476114;51,473776;-0,45279822;Hillingdon;Inner Ring East
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507576;176127;TQ0757676127;51,473888;-0,45247763;Hillingdon;Croydon Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507192;187197;TQ0719287197;51,57346;-0,45463999;Hillingdon;Breakspear Road South
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";512546;185275;TQ1254685275;51,555143;-0,37803037;Hillingdon;Field End Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";507571;176125;TQ0757176125;51,473871;-0,4525502;Hillingdon;Calshot Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";513508;175962;TQ1350875962;51,471248;-0,36715606;Hounslow;Lampton Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";513749;175982;TQ1374975982;51,471379;-0,36368135;Hounslow;Alexandra Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";514223;176182;TQ1422376182;51,473081;-0,35679532;Hounslow;Kingsley Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";521212;178806;TQ2121278806;51,495211;-0,25531576;Hounslow;Turnham Green Terrace
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";521213;178784;TQ2121378784;51,495013;-0,25530891;Hounslow;Turnham Green Terrace
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524289;181360;TQ2428981360;51,517497;-0,21011487;Kensington and Chelsea;Ladbroke Grove
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532012;171965;TQ3201271965;51,431318;-0,10238032;Lambeth;Norwood High Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532071;171944;TQ3207171944;51,431115;-0,10153992;Lambeth;Pilgrim Hill
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532916;171445;TQ3291671445;51,426434;-0,089578833;Lambeth;Salter's Hill
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530466;178318;TQ3046678318;51,488768;-0,12226503;Lambeth;Glasshouse Walk
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530786;178878;TQ3078678878;51,493727;-0,11745138;Lambeth;Old Paradise Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530813;178870;TQ3081378870;51,493649;-0,11706564;Lambeth;Old Paradise Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531256;180019;TQ3125680019;51,503872;-0,11026102;Lambeth;Cornwall Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535309;177859;TQ3530977859;51,483506;-0,052728662;Lewisham;Rollins Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537527;177332;TQ3752777332;51,478236;-0,021011311;Lewisham;Creekside
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537883;175561;TQ3788375561;51,462235;-0,016578582;Lewisham;Elmira Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";524234;169884;TQ2423469884;51,414373;-0,21493649;Merton;Toynbee Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540471;185622;TQ4047185622;51,552006;0,024654692;Newham;Stracey Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540309;185706;TQ4030985706;51,552801;0,022353171;Newham;Bignold Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";541046;185609;TQ4104685609;51,551746;0,032937249;Newham;Lorne Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540677;185589;TQ4067785589;51,551658;0,027610696;Newham;Avenue Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539166;182939;TQ3916682939;51,52822;0,0047849529;Newham;Manor Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539167;182967;TQ3916782967;51,528471;0,0048104124;Newham;Manor Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531491;180495;TQ3149180495;51,508095;-0,10669983;Southwark;Upper Ground
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532327;177727;TQ3232777727;51,483025;-0,095697789;Southwark;Grosvenor Terrace
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";527662;164836;TQ2766264836;51,368245;-0,16748303;Sutton;West Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";525333;166634;TQ2533366634;51,384923;-0,20028833;Sutton;Forest Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534955;180991;TQ3495580991;51,511736;-0,056626837;Tower Hamlets;Watney Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534933;182508;TQ3493382508;51,525373;-0,056363377;Tower Hamlets;Witan Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536083;180917;TQ3608380917;51,510801;-0,040410539;Tower Hamlets;Limehouse Link
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536087;180908;TQ3608780908;51,510719;-0,040356406;Tower Hamlets;Limehouse Link
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536879;180607;TQ3687980607;51,507823;-0,029067536;Tower Hamlets;Limehouse Link
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536881;180574;TQ3688180574;51,507526;-0,029051533;Tower Hamlets;Limehouse Link
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535163;181029;TQ3516381029;51,512028;-0,053616762;Tower Hamlets;Sutton Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535161;181003;TQ3516181003;51,511795;-0,053655524;Tower Hamlets;Sutton Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534453;182314;TQ3445382314;51,523744;-0,063352185;Tower Hamlets;Hemming Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534443;182259;TQ3444382259;51,523252;-0,063517208;Tower Hamlets;Hemming Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535160;182439;TQ3516082439;51,524699;-0,053119701;Tower Hamlets;Malcolm Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537332;180702;TQ3733280702;51,508567;-0,022507351;Tower Hamlets;Limehouse Link
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537330;180693;TQ3733080693;51,508486;-0,022539654;Tower Hamlets;Limehouse Link
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537798;187802;TQ3779887802;51,572254;-0,013019712;Waltham Forest;Capworth Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";539758;186358;TQ3975886358;51,558796;0,014670004;Waltham Forest;Courtenay Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529094;176968;TQ2909476968;51,476951;-0,14250802;Wandsworth;Stewarts Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529110;176934;TQ2911076934;51,476641;-0,14229017;Wandsworth;Stewarts Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";528770;176946;TQ2877076946;51,476827;-0,14717883;Wandsworth;Battersea Park Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";528707;177938;TQ2870777938;51,485756;-0,14772431;Westminster;Grosvenor Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";528757;177941;TQ2875777941;51,485771;-0,14700351;Westminster;Grosvenor Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529291;184166;TQ2929184166;51,541592;-0,13703611;Camden;Randolph Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529393;184166;TQ2939384166;51,541568;-0,13556612;Camden;Baynes Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532888;163975;TQ3288863975;51,35931;-0,092775184;Croydon;Sussex Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533448;182842;TQ3344882842;51,528727;-0,077629877;Hackney;Waterson Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533515;182925;TQ3351582925;51,529457;-0,076633167;Hackney;Union Walk
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533481;182892;TQ3348182892;51,529169;-0,077135511;Hackney;Union Walk
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533471;182856;TQ3347182856;51,528848;-0,077293213;Hackney;Union Walk
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533558;183564;TQ3355883564;51,535189;-0,075771517;Hackney;Laburnum Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";522955;178671;TQ2295578671;51,493622;-0,23026737;Hammersmith and Fulham;Cambridge Grove
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532649;188415;TQ3264988415;51,578996;-0,087041206;Haringey;Hermitage Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533711;191114;TQ3371191114;51,603;-0,070696654;Haringey;Orchard Place
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";514448;176525;TQ1444876525;51,476119;-0,35344619;Hounslow;Spring Grove Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531120;182194;TQ3112082194;51,523449;-0,11141111;Islington;Warner Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531279;175351;TQ3127975351;51,461917;-0,11166352;Lambeth;Coldharbour Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531847;175799;TQ3184775799;51,465811;-0,10332518;Lambeth;Loughborough Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530042;175574;TQ3004275574;51,464206;-0,12937761;Lambeth;Bedford Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530049;175570;TQ3004975570;51,464169;-0,12927837;Lambeth;Cottage Grove
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530042;175549;TQ3004275549;51,463981;-0,1293868;Lambeth;Bedford Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536821;177567;TQ3682177567;51,480519;-0,031080249;Lewisham;Edward Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540857;185604;TQ4085785604;51,551748;0,030211111;Newham;Cranmer Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540950;185615;TQ4095085615;51,551824;0,031555963;Newham;Latimer Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";517623;169657;TQ1762369657;51,413741;-0,31003051;Richmond upon Thames;Lower Teddington Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532754;174367;TQ3275474367;51,45273;-0,090812894;Southwark;Village Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534885;176170;TQ3488576170;51,46843;-0,059475433;Southwark;Kirkwood Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535444;175996;TQ3544475996;51,466733;-0,051499217;Southwark;Gibbon Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532258;176793;TQ3225876793;51,474648;-0,097040289;Southwark;Knatchbull Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532284;176804;TQ3228476804;51,47474;-0,096662028;Southwark;Knatchbull Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534808;183408;TQ3480883408;51,533491;-0,05781994;Tower Hamlets;Hare Row
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536068;181082;TQ3606881082;51,512287;-0,040562934;Tower Hamlets;Ratcliffe Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";536041;181095;TQ3604181095;51,51241;-0,040946765;Tower Hamlets;Ratcliffe Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537876;187726;TQ3787687726;51,571552;-0,011924728;Waltham Forest;Beaumont Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";537940;187673;TQ3794087673;51,57106;-0,011022633;Waltham Forest;Skeltons Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540094;185955;TQ4009485955;51,555092;0,019353288;Waltham Forest;Pevensey Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";525743;175072;TQ2574375072;51,460665;-0,19140831;Wandsworth;Smugglers Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";525785;175076;TQ2578575076;51,460692;-0,19080265;Wandsworth;Swandon Way
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";528024;179492;TQ2802479492;51,499876;-0,15699239;Westminster;Car park access
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";542338;170543;TQ4233870543;51,416043;0,045491767;Bromley;Elmstead Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534751;195742;TQ3475195742;51,644339;-0,05391031;Enfield;Lincoln Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";535124;198852;TQ3512498852;51,672197;-0,047321901;Enfield;Turkey Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";540696;179115;TQ4069679115;51,493479;0,025301641;Greenwich;Riverside
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533563;183493;TQ3356383493;51,53455;-0,07572638;Hackney;Whiston Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534775;183781;TQ3477583781;51,53685;-0,058152766;Hackney;Beck Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";529033;187892;TQ2903387892;51,575135;-0,13938825;Haringey;Northwood Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";514142;188291;TQ1414288291;51,58193;-0,35404116;Harrow;The Gardens
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";512076;189577;TQ1207689577;51,593902;-0,38343562;Harrow;Chapel Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";512052;189571;TQ1205289571;51,593853;-0,38378386;Harrow;Chapel Lane
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";531736;174843;TQ3173674843;51,457246;-0,10527805;Lambeth;Shakespeare Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530980;175538;TQ3098075538;51,463666;-0,11589583;Lambeth;Nursery Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530457;178432;TQ3045778432;51,489795;-0,1223525;Lambeth;Tinworth Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530487;178427;TQ3048778427;51,489743;-0,12192249;Lambeth;Tinworth Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";530886;179026;TQ3088679026;51,495034;-0,1159569;Lambeth;Sail Street
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";541121;185586;TQ4112185586;51,55152;0,034009035;Newham;Sebert Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";541150;185572;TQ4115085572;51,551387;0,034421408;Newham;Balmoral Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";544932;190578;TQ4493290578;51,59541;0,090994311;Redbridge;Forest Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";532101;176567;TQ3210176567;51,472653;-0,099383973;Southwark;Denmark Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534767;176243;TQ3476776243;51,469114;-0,061145402;Southwark;Brayards Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";534703;176428;TQ3470376428;51,470791;-0,061995797;Southwark;Gordon Road
Between 4.1 and 4.5;"Between 13'3"" and 14'9""";533722;179541;TQ3372279541;51,498999;-0,074933383;Southwark;Millstream Road
