code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;708;1210;329;45;2292;85;7
00AB;BarkingandDagenham;2022;60133;2865;3541;68561;2447;200
00AC;Barnet;4659;130898;3904;5086;144547;3352;123
00AD;Bexley;2479;99119;4162;5802;111562;2793;219
00AE;Brent;4993;82536;4717;3792;96038;2921;68
00AF;Bromley;2795;139476;4909;7395;154575;2786;228
00AG;Camden;1569;36147;2357;1224;41297;1678;93
00AH;Croydon;3478;132057;5017;6788;147340;3831;197
00AJ;Ealing;5219;104562;5230;4869;119880;3092;135
00AK;Enfield;2890;111554;5543;6159;126146;3585;138
00AL;Greenwich;1528;73678;2317;3424;80947;2983;220
00AM;Hackney;1144;38040;1474;1947;42605;2457;85
00AN;HammersmithandFulham;3041;38418;1262;1247;43968;1289;107
00AP;Haringey;1358;57998;1947;2803;64106;2316;89
00AQ;Harrow;2521;93625;2458;3481;102085;2048;97
00AR;Havering;2517;107716;4914;7726;122873;2947;242
00AS;Hillingdon;10197;117227;8511;6528;142463;2762;236
00AT;Hounslow;3002;89873;3477;4455;100807;2408;165
00AU;Islington;1023;31656;1450;1536;35665;2100;102
00AW;KensingtonandChelsea;1485;35509;535;981;38510;932;56
00AX;KingstonuponThames;1092;62101;2326;2993;68512;1034;122
00AY;Lambeth;1283;59550;1722;2612;65167;2099;99
00AZ;Lewisham;1159;72360;1735;3569;78823;2628;163
00BA;Merton;1962;66037;2995;3244;74238;1468;1705
00BB;Newham;2443;64726;2748;2842;72759;3334;139
00BC;Redbridge;2918;97473;2730;4360;107481;2962;131
00BD;RichmonduponThames;1225;72531;1369;2596;77721;1032;110
00BE;Southwark;1310;53119;1711;2434;58574;3339;156
00BF;Sutton;1513;82737;3191;5212;92653;1819;122
00BG;TowerHamlets;1805;40570;2460;1694;46529;2245;85
00BH;WalthamForest;2667;72183;2334;4042;81226;2628;104
00BJ;Wandsworth;1582;75019;2572;2584;81757;1820;91
00BK;Westminster;5285;38948;1952;1192;47377;1894;688
;UnknownBorough;49;251;37;19;356;30;9
