code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;1002;1395;416;54;2867;59;6
00AB;BarkingandDagenham;1674;58285;2694;3737;66390;2709;259
00AC;Barnet;5169;132433;4538;5646;147786;3216;134
00AD;Bexley;2563;99349;4494;6300;112706;3159;247
00AE;Brent;5578;84195;7259;4215;101247;2852;76
00AF;Bromley;3835;141100;4651;7771;157357;2931;258
00AG;Camden;6651;38637;2951;1523;49762;1537;100
00AH;Croydon;3968;132079;5121;7088;148256;3819;225
00AJ;Ealing;6361;106319;5385;5361;123426;3257;162
00AK;Enfield;3184;112860;5604;6771;128419;3474;169
00AL;Greenwich;1392;72637;2435;3833;80297;3260;280
00AM;Hackney;1060;38213;1402;2208;42883;2294;109
00AN;HammersmithandFulham;2433;38659;1460;1344;43896;1297;148
00AP;Haringey;1273;58140;2284;3200;64897;2249;114
00AQ;Harrow;2326;95999;2585;3765;104675;2091;104
00AR;Havering;2971;108206;5095;8477;124749;3253;257
00AS;Hillingdon;15899;116892;8752;6587;148130;2944;198
00AT;Hounslow;3609;90010;3407;4540;101566;2658;191
00AU;Islington;1430;32660;1551;1731;37372;1975;144
00AW;KensingtonandChelsea;1631;38197;796;1075;41699;900;67
00AX;KingstonuponThames;1259;63212;3052;3039;70562;1059;149
00AY;Lambeth;1632;60282;2151;2915;66980;2210;131
00AZ;Lewisham;1417;72445;1900;4030;79792;2827;199
00BA;Merton;4536;67219;3269;3473;78497;1567;688
00BB;Newham;2175;62062;2395;3067;69699;3359;174
00BC;Redbridge;2615;99150;2803;5172;109740;3193;133
00BD;RichmonduponThames;1370;74106;1361;2716;79553;1071;118
00BE;Southwark;1590;53012;2446;2776;59824;2652;208
00BF;Sutton;1701;82937;3378;5524;93540;1821;136
00BG;TowerHamlets;2186;38735;3245;2086;46252;2068;130
00BH;WalthamForest;2328;73346;2708;4655;83037;2708;116
00BJ;Wandsworth;1922;75594;2763;2739;83018;1944;119
00BK;Westminster;4932;42384;1816;1384;50516;1729;564
;UnknownBorough;53;405;82;30;570;37;4
;;;;;;;;
H;London;103725;2461154;106249;128832;2799960;78179;6117
