code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;863;1304;321;42;2530;83;7
00AB;BarkingandDagenham;1944;59294;2889;3728;67855;2452;265
00AC;Barnet;5009;132377;4410;5486;147282;3176;137
00AD;Bexley;2508;99393;4475;6187;112563;2865;241
00AE;Brent;5279;83426;5044;4118;97867;2792;73
00AF;Bromley;3759;140594;4733;7679;156765;2777;245
00AG;Camden;2215;37524;2319;1401;43459;1536;102
00AH;Croydon;3926;132487;5172;7035;148620;3723;233
00AJ;Ealing;5296;105546;5186;5229;121257;3089;145
00AK;Enfield;2940;112296;5490;6649;127375;3448;157
00AL;Greenwich;1470;73497;2482;3762;81211;2976;268
00AM;Hackney;1215;37633;1521;2171;42540;2259;102
00AN;HammersmithandFulham;2661;38272;1328;1336;43597;1218;128
00AP;Haringey;1221;57744;2218;3120;64303;2220;118
00AQ;Harrow;2330;95118;2418;3702;103568;2056;103
00AR;Havering;2766;108455;5144;8199;124564;2985;270
00AS;Hillingdon;18753;117700;9528;6621;152602;2762;247
00AT;Hounslow;3356;90531;3621;4577;102085;2435;184
00AU;Islington;1895;31669;1519;1732;36815;2008;130
00AW;KensingtonandChelsea;1813;37122;675;1079;40689;868;61
00AX;KingstonuponThames;1218;62847;2891;3030;69986;1015;141
00AY;Lambeth;1298;59832;2201;2825;66156;2004;136
00AZ;Lewisham;1281;72505;1827;3985;79598;2658;173
00BA;Merton;3415;66317;3042;3385;76159;1477;1712
00BB;Newham;2539;64132;2611;3129;72411;3242;170
00BC;Redbridge;2703;98666;2699;4977;109045;2962;146
00BD;RichmonduponThames;1292;73707;1364;2699;79062;991;126
00BE;Southwark;1477;52810;1969;2679;58935;2468;205
00BF;Sutton;1692;83245;3374;5339;93650;1754;139
00BG;TowerHamlets;2218;39239;2845;2103;46405;2008;130
00BH;WalthamForest;2389;72779;2545;4487;82200;2550;110
00BJ;Wandsworth;1813;74635;2788;2745;81981;1804;127
00BK;Westminster;5389;40753;2234;1338;49714;1729;650
;UnknownBorough;70;521;74;21;686;48;4
;;;;;;;;
H;London;100013;2453970;102957;126595;2783535;74438;7185
