code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;664;1144;361;39;2208;89;7
00AB;BarkingandDagenham;1901;58967;3072;3313;67253;2547;194
00AC;Barnet;4229;127743;3979;4673;140624;3499;138
00AD;Bexley;2299;97447;4437;5662;109845;2763;228
00AE;Brent;4633;80240;4773;3456;93102;3096;73
00AF;Bromley;2438;137314;5170;7218;152140;2842;242
00AG;Camden;1492;34208;1299;1081;38080;1761;90
00AH;Croydon;2719;129909;5177;6540;144345;3826;199
00AJ;Ealing;4519;102887;5440;4565;117411;3148;137
00AK;Enfield;2765;109213;6021;5628;123627;3807;150
00AL;Greenwich;1405;72037;2286;3150;78878;3069;220
00AM;Hackney;1019;36709;1765;1763;41256;2587;95
00AN;HammersmithandFulham;2647;37403;1214;1123;42387;1348;115
00AP;Haringey;1321;56169;2009;2416;61915;2429;106
00AQ;Harrow;2473;91521;2518;3320;99832;2135;98
00AR;Havering;2449;106602;5043;7620;121714;2960;247
00AS;Hillingdon;10250;115940;9254;6536;141980;2867;245
00AT;Hounslow;2662;88079;3426;4359;98526;2425;158
00AU;Islington;912;30463;1469;1373;34217;2176;121
00AW;KensingtonandChelsea;1432;33950;623;879;36884;978;54
00AX;KingstonuponThames;1020;61373;2237;2935;67565;1035;125
00AY;Lambeth;1229;57848;1680;2385;63142;2151;97
00AZ;Lewisham;1073;70408;1780;3198;76459;2680;175
00BA;Merton;2255;64909;3078;3143;73385;1490;1701
00BB;Newham;2203;61775;2906;2382;69266;3403;139
00BC;Redbridge;2839;95251;2889;4104;105083;2957;141
00BD;RichmonduponThames;1170;71297;1425;2542;76434;1015;114
00BE;Southwark;1257;51189;1735;2191;56372;2761;153
00BF;Sutton;1371;81834;3095;5087;91387;1848;122
00BG;TowerHamlets;1568;40133;2731;1475;45907;2427;92
00BH;WalthamForest;2395;69855;2384;3549;78183;2741;119
00BJ;Wandsworth;1484;73558;2612;2349;80003;1894;93
00BK;Westminster;5031;37304;2028;1101;45464;2009;735
;UnknownBorough;49;238;42;14;343;25;18
