code;Area;PLGCars:Company;PLGCars:Private;PLGOther:Company;PLGOther:Private;PLGTotal;ExemptDisabled:Cars;ExemptDisabled:Other
00AA;CityofLondon;846;1251;312;46;2455;84;7
00AB;BarkingandDagenham;2196;59929;2818;3632;68575;2428;204
00AC;Barnet;5352;132403;4418;5321;147494;3243;122
00AD;Bexley;2557;99767;4190;6008;112522;2806;203
00AE;Brent;5288;83216;4851;3993;97348;2869;61
00AF;Bromley;3388;140331;4808;7585;156112;2761;223
00AG;Camden;2000;36522;2257;1319;42098;1588;80
00AH;Croydon;3626;132434;5108;6935;148103;3769;193
00AJ;Ealing;5299;105306;5128;5096;120829;3080;138
00AK;Enfield;2915;112358;5497;6418;127188;3513;136
00AL;Greenwich;1530;73424;2403;3548;80905;2963;216
00AM;Hackney;1304;37158;1522;2042;42026;2348;87
00AN;HammersmithandFulham;3305;37794;1280;1291;43670;1250;108
00AP;Haringey;1360;57418;2142;2907;63827;2285;96
00AQ;Harrow;2538;95021;2390;3623;103572;2019;96
00AR;Havering;2829;108370;5063;8013;124275;2983;243
00AS;Hillingdon;18489;118648;9610;6574;153321;2736;228
00AT;Hounslow;3447;90769;3645;4496;102357;2410;166
00AU;Islington;1613;31107;1572;1629;35921;2029;108
00AW;KensingtonandChelsea;1817;36268;577;1018;39680;880;50
00AX;KingstonuponThames;1274;63021;2706;3042;70043;1026;125
00AY;Lambeth;1289;58879;1774;2675;64617;2071;95
00AZ;Lewisham;1225;71892;1750;3848;78715;2619;156
00BA;Merton;1851;65934;2913;3276;73974;1465;1699
00BB;Newham;2460;64246;2976;2950;72632;3288;131
00BC;Redbridge;3137;98612;2638;4700;109087;2948;124
00BD;RichmonduponThames;1249;73290;1372;2616;78527;997;116
00BE;Southwark;1357;52575;1947;2517;58396;2694;148
00BF;Sutton;1723;83326;3459;5255;93763;1826;126
00BG;TowerHamlets;2389;39381;2945;2014;46729;2120;83
00BH;WalthamForest;3018;72017;2400;4300;81735;2589;95
00BJ;Wandsworth;1760;74091;2747;2605;81203;1771;96
00BK;Westminster;6317;39650;2217;1268;49452;1865;652
;UnknownBorough;63;275;53;15;406;33;4
Totals;;100811;2446683;101488;122575;2771557;75356;6415
